1,Stone
2,Grass Block
3,Dirt
4,Cobblestone
5,Oak Wood Planks
5:1,Spruce Wood Planks
5:2,Birch Wood Planks
5:3,Jungle Wood Planks
6,Oak Sapling
6:1,Spruce Sapling
6:2,Birch Sapling
6:3,Jungle Sapling
7,Bedrock
8,Water (No Spread)
9,Water
10,Lava (No Spread)
11,Lava
12,Sand
13,Gravel
14,Gold Ore
15,Iron Ore
16,Coal Ore
17,Oak Wood
17:1,Spruce Wood 
17:1,Spruce Wood 
17:2,Birch Wood 
17:3,Jungle Wood 
18,Oak Leaves
18:1,Spruce Leaves
18:2,Birch Leaves
18:3,Jungle Leaves
19,Sponge
20,Glass
21,Lapis Lazuli Ore
22,Lapis Lazuli Block
23,Dispenser
24,Sandstone
25,Note Block
26,Bed
27,Powered Rail
28,Detector Rail
29,Sticky Piston
30,Web
31,Shrub
31:1,Grass
31:2,Fern
32,Dead Bush
33,Piston
34,Piston (Head)
35,Wool
35:1,Orange Wool
35:2,Magenta Wool
35:3,Light Blue Wool
35:4,Yellow Wool
35:5,Lime Wool
35:6,Pink Wool
35:7,Gray Wool
35:8,Light Gray Wool
35:9,Cyan Wool
35:10,Purple Wool
35:11,Blue Wool
35:12,Brown Wool
35:13,Green Wool
35:14,Red Wool
35:15,Black Wool
37,Dandelion
38,Rose
39,Brown Mushroom
40,Red Mushroom
41,Block of Gold
42,Block of Iron
43,Stone Slab (Double)
43:1,Sandstone Slab (Double)
43:2,Wooden Slab (Double)
43:3,Cobblestone Slab (Double)
43:4,Brick Slab (Double)
43:5,Stone Brick Slab (Double)
44,Stone Slab
44:1,Sandstone Slab
44:2,Wooden Slab
44:3,Cobblestone Slab
44:4,Brick Slab
44:5,Stone Brick Slab
45,Brick
46,TNT
47,Bookcase
48,Moss Stone
49,Obsidian
50,Torch
51,Fire
52,Mob Spawner
53,Oak Wood Stairs
54,Chest
55,Redstone Wire
56,Diamond Ore
57,Block of Diamond
58,Workbench
59,Wheat (Crop)
60,Farmland
61,Furnace
62,Furnace (Smelting)
63,Sign (Block)
64,Wood Door (Block)
65,Ladder
66,Rails
67,Cobblestone Stairs
68,Sign (Wall Block)
69,Lever
70,Stone Pressure Plate
71,Iron Door (Block)
72,Wooden Pressure Plate
73,Redstone Ore
74,Redstone Ore (Glowing)
75,Redstone Torch (Off)
76,Redstone Torch
77,Stone Button
78,Snow
79,Ice
80,Snow Block
81,Cactus
82,Clay Block
83,Sugar Cane (Block)
84,Jukebox
85,Fence
86,Pumpkin
87,Netherrack
88,Soul Sand
89,Glowstone
90,Portal
91,Jack-O-Lantern
92,Cake (Block)
93,Redstone Repeater (Block Off)
94,Redstone Repeater (Block On)
95,Locked Chest
96,Trapdoor
97,Silverfish Stone
98,Stone Bricks
98:1,Mossy Stone Bricks
98:2,Cracked Stone Bricks
99,Brown Mushroom (Block)
100,Red Mushroom (Block)
101,Iron Bars
102,Glass Pane
103,Melon (Block)
104,Pumpkin Vine
105,Melon Vine
106,Vines
107,Fence Gate
108,Brick Stairs
109,Stone Brick Stairs
110,Mycelium
111,Lily Pad
112,Nether Brick
113,Nether Brick Fence
114,Nether Brick Stairs
115,Nether Wart
116,Enchantment Table
